model,input_per_1m,cached_input_per_1m,output_per_1m
gpt-4o,2.50,1.25,10.00
gpt-4o-mini,0.15,0.075,0.60
gpt-4.1,2.00,0.50,8.00
gpt-4.1-mini,0.40,0.10,1.60
gpt-4.1-nano,0.10,0.025,0.40
gpt-5,1.25,0.125,10.00
gpt-5-mini,0.25,0.025,2.00
gpt-5-nano,0.05,0.005,0.40
gpt-5-pro,15.00,,120.00
gpt-5.1,1.25,0.125,10.00
gpt-5.2,1.75,0.175,14.00
gpt-5.2-pro,21.00,,168.00
gpt-5.3-codex,1.75,0.175,14.00
gpt-5.4,2.50,0.25,15.00
gpt-5.4-mini,0.75,0.075,4.50
gpt-5.4-nano,0.20,0.02,1.25
gpt-5.4-pro,30.00,,180.00
gpt-5.5,5.00,0.50,30.00
gpt-5.5-pro,30.00,,180.00
gpt-5.6-luna,0.20,0.02,1.20
gpt-5.6-sol,4.00,0.40,20.00
gpt-5.6-terra,2.00,0.20,12.00
gpt-6-astra,10.00,1.00,50.00
o3,2.00,0.50,8.00
o3-mini,1.10,0.55,4.40
o4-mini,1.10,0.275,4.40
